ParlaMint-IS_2022-03-03-46.u1	To answer, financial and economic ministers, infrastructure and social and workforce ministers.
ParlaMint-IS_2022-03-03-46.u89	A respectable president. Here we deal with the bill to legalize consumer loan laws, home-estate loan laws to consumers, responsibilities and the law on consumer contracts (unrecounting conditions in consumer agreements). This bill is very much needed. Transporter's down. paritaprevir This bill Ásthildur the Lóa Þórsdóttur and all of the people's members are behind them. As I say, it's a long time and a good time to clean up the consumer business in Iceland. Unfortunately, it has to be said as it is that we are kind of on the back of the business. Sadly, consumers have been so justified in terms of large financial companies who have had unlimited money and lawyers and have a much better position to justify and achieve their rights, whether they are legal or illegal. Justice is something we need to consider carefully on consumer issues. The responsibility is usually wondered by those who can live up to it, i.e. banks and financial companies, over to the consumer, who is absolutely unable to live up to this responsibility because he does not have the perspective that the creditors have. As a result, it tells us that there is not equal between them, which is basically Davíð fighting Golíatur. The most terrifying part of this is how financial companies have somehow been able to dress up, put on belts and bracelets, and do whatever they want, because it's all about their ability to achieve their rights, whether it's legal or illegal. If a consumer finds himself in a wrong, and he is faced with the need to seek justice, he usually gives up. He doesn't have the authority to fight this system. We know this especially from the bank crash, and I know it personally in the bank crash and face the fact that a person's loan is being collected illegally, and it has been accepted illegal but still has to fight to gain justice. It was far from easy. And the threats and coverts that were running and that they can be moved - you go to one institution and you take a certain loan there, and that's not right. Then, because the whole system collapses, you only have to pay and still pay, even if the whole system has already been borrowed, or if it is properly sold or passed over to another or third party. There you are going to start fighting the party about paying something that you cannot pay because the original mortgage for the borrower is long gone, and it is not even yours anymore. So we'll just see how amazing the rights of those responsible for this are different from those who don't have the knowledge to deal with big financial companies. That's why I say it's very good, and so is responsible men. We have this amazing system, a responsible system, which has been on the side of a nation, which is a complete failure to us because, unfortunately, this has led to an incredible failure to many families, far beyond the individual who originally borrowed and has even caused chain - carrying bankruptcy. So we're supposed to take this whole system over for a review, and this is a step. I support this matter with my whole mind, hoping that now the government will finally be boarded up, and the government will step up and stand for the consumer.
ParlaMint-IS_2022-03-03-46.u90	A respectable president. Remarks headed for the same goal as the bill have been submitted at least Eight times before, last of the 151st legislature. The bill is about to arise from the initiative of the household's Habitat Association, and it is based on the same argument given to the former embryos of the same material. This bill suggests a modest change that can have a great deal to do with the consumers'wages, resulting in loss of their home on an overdue sale. It's really called a key bill. My importers are Eyjólfur the Ármannsson, Guðmundur Ingi Kristinsson, Inga Sæland, Jakob Frímann Magnússon and Tómas A. Tómasson. According to information provided by the National Institutes of Economic Affairs, cases involving the posts of mortgages are followed by forced sale among the most common people that have been installed on the board, and even consumers are still being demanded of suspected posts, even though they have been fully paid for their forced sale. Since this is now required at 38th. Law on home loans to consumers, No. 118/2016, for example, to offer alternative options before requiring an obligatory sale, it is likely that everything else will be fully developed before it is due to the fact that a creditor has no predictable means of living up to the commitments of his housing. In such cases, it is always safe to conclude that the terms of payment are automatically met in terms of the demolition of debt beyond the value of real estate. Is it, therefore, to promote a more efficient solution that the remaining bets due to mortgages fall behind forced sales of consumer property, as well as which would share the risk of borrowing fairly between loans and creditors? According to information provided by the National Institutes of Economic Affairs, cases involving the posts of mortgages are followed by forced sale among the most common people that have been installed on the board, and even consumers are still being demanded of suspected posts, even though they have been fully paid for their forced sale. Although it is not legal to require consumers for postmortems to be marketed real estates enough for after forced sales, there are many examples. There consumers are badly at stake, both because they do not know their rights and therefore obviously do not seek it, but also because there is no equal between them and the demands. They simply cannot afford the strokes that would follow, ending the death of people who in general have lost their housing without money and are therefore easy victims. Since this is now required at 38th. Law on home loans to consumers, No. 118/2016, to offer alternative options before requiring an obligatory sale, it is likely that everything else will be fully developed before it is due. As a result, the creditor's assessment must be that a consumer does not have the predictable means to live up to the commitments of his home. It should be obvious, then, that when the consumer is sold in his home, he has no chance to meet the increased demands. Thus, the nature of the problem is that there is a requirement for canceling debt beyond the value of real estate, which is exactly what this bill involves. Today, it might be possible to argue that such laws are not necessary, but the experience of thousands from the 2008 bank collapse shows that it is not absolutely necessary. Many cases in the past and are chasing people into the red death after selling their property at auction have entered the household's Economic Association. Official figures on a successful budget from the collapse of this case can also be cited to support the 152,117 people today. You see, these cases keep the banks awake, and they are people who have truly been peripheral in Icelandic society. There is no financial rights, no credit card, no contracts, no washing machine on the payments, or just doing some of it in life that requires some kind of financial commitment. The objective of the bill is to contribute to the careful loaning of loans by handing debts to mortgage loans, i.e. The real estate, and if you hit the bank, walk away without debts. The bill is such an important factor in distributing risks in real estate loans and giving domestic loans that there is a one - sided risk on loans. It is also the objective of the bill to contribute to the effective implementation and implementation of the European Parliament Directive and the Council 2014/17/EU from February 4, 2014, for the loan agreements for consumers in the setting of housing and Member States. The directive's regulations have largely been legalized in this country by the law on property loans to consumers. In view of the indications that have been received regarding the implementation of the law, the aim is to sharpen them further in order to enhance and better explain the rights of consumers in this field. By means of a bill, it is suggested that a set of values be established. I don't know. I don't know. I don't know. I don't know. Because of values, a demandsant recognizes a different payment as sufficient, so that the demanding relationship between demands and debt ends in a way that was not originally planned. In this way the bill assumes that the requirement for a reimbursement agreement on mortgages, where loans are guaranteed by mortgages in the purchased estate, will be agreed to to accept that the surrender of the owned property into its hands is considered to be a complete payment of half a debt equal to the fact that the commitment has been fulfilled. It is assumed that the test will be made only in need, e.g. When a credit card has been given to the creditors and the legal rights of demands to seek the full extent of its demands, it has been effective. A report by the International Advisor Society London Economics, 2012, on resources for consumers in financial difficulties is very much discussed on top of values such as those discussed in this issue. It shows that similar resources have long been available in many U.S. countries and have since crashed into Europe, particularly in Spain. The European Commission's guidelines also set out in the June 1, 2015, European Commission guidelines on underdevelopment and forced sales for more details on how to handle these matters. This suggests that the candidate should be sufficiently moderate in such measures to the consumer. That hasn't been the case here. There have been a number of cases where moderate honor has not been guarded and has overdone to consumers in behalf of demands. The need for legalizing measures, such as those recommended by the bill, was clearly seen following the 2008 financial collapse when the gang of the crowning labor fortunes caused the success of the loan agreements to become too much for the debtors. The grappling effects of the gang's success resulted in comparable consequences to the price of loans. The lack of intelligence faced by consumers caused an unprecedented riot in the community that followed. It is essential to learn from experience and to implement resources to prevent the recurrence of history. Getting that experience would be a great improvement in strengthening the status of the debt of real estate loans in the way the bill calls out. In addition to bringing about the necessary resources needed to cope with economic problems, the potential risk distribution would encourage loan institutions to pursue more successful loans. Thus, the bill is designed to make the interest of lenders and consumers put together beyond what is now defined by a consumer's being able to live up to the cities of his mortgage, and the value of real estate will not be much less than the value of the loan agreement. This would reduce the likelihood of the formation of real estate vaccines, such as those formed in the 2008 or 2019 to 2021 years before the collapse. In the long run, changing the environment in this respect would lead to poor loans, achieving the benefits of society. In the reply of the Minister of Justice to a petition for forced sales and bankruptcy in 2018 as well as to the response of the social and equal Affairs Minister to a request for forced sales and remuneration in the same year, it was found that in the past ten years, at least 9,195 individual property has been sold under compulsion or due to payment. No doubt more families have lost their homes by other means that there are no official numbers and since everyone does all they can to negotiate before an underdeveloped sale, it is reasonable to assume that those who lost their homes by other means, such as the one who lost their homes will not be able to do so. after failure or emergency contracts at the bank, at least Even so many. The domestic economist groups have discussed 15,000 families, which must be viewed as a careful estimate. However, the absence of accurate figures over these families is a major mistake, but there is another story that will not be discussed here. Despite this experience, small defenses have been built in behalf of the households. As evidence of this, a report by the Minister of Justice, on the implementation of the Commission on the terms and laws of forced sales from 149th legislation, shows that there is no particular attention to whether a lender has met the criteria of 38 gr. law on home loans to consumers in the implementation of forced sales. The bill aims to improve this, consumers to benefit. According to the 38th paragraph. legal on consumer mortgages is obliged to provide consumers with resources, such as reimbursement or return of loans, which could solve the problems of consumers before requiring forced sale. Thus, the lawgiver's will is to appoint a forced sale as a means of success in such cases and to make any way impossible, including the way to negotiate. When this is the case, the consumer's financial situation must always be limited in view of debt, so it is a serious matter to provide a solution to the consumer's situation under such burdens, as has been sought in late times, e.g. with a law on individual payment, changes in bankruptcy laws, and with financial support laws to pay insurance for bankruptcy costs. In such cases when all other things have been fully developed before forced sales are required, it can always be concluded that the conditions of payment are automatically met in terms of the demolition of mortgages beyond the value of real estate. Is it, therefore, that in such cases, there is a tendency to increase the effectiveness of a solution to the situation that, according to the bill, the principle that the remaining debt due to real estate loans will fall down in the wake of an forced sale on consumer's property. This production of the bill has taken into account comments that have appeared at earlier levels, including from the office of the agent's office of creditors with reference to the law on forced sales. According to 57th. 6 / 15 " You Are God's Ministers, " No. 90/1191, the bail holder who cannot meet the demands of forced sales may not require loans for the payment of his demand unless he can show that the market value at the time of the forced sale would not have enough to pay them. This can only be the case in cases where retail prices of an obligatory sale are under the market value, but if the price of gambling is higher than the market price of the prize, a debtor can pay off dues than the share of the market and have lost insurance on his property as a result of the forced sale. In fact, it should never be said that if one of the employees automatically exceeds the value of the mortgage, it would be advisable to ask for property on the market to avoid that position. If the price of gambling is also paid under the market value of the property, the provision will lead to the release of a debt. This is true regardless of type or type of requirement, whether legal or individual, of any debt. Here's the basic reason to put the requirements under market value, of course, the borrower should get the difference between what he owes and value the property in his pocket, but not so, and unfortunately, it is not taken in this bill but waits for a better time. Confirming accounts of property, usually obtained by the demanding owner of the bank, far under market prices, there are many who later sold back on market prices. To make matters worse, it is often not enough for the bank to chase down the debtor for what he says is missing. No wonder the banks made a lot of money from collapse. This bill's principle is that no matter whether a debt is needed or not, after the auction, there is a debt of cash. As noted earlier, there must be absolutely exceptions to the fact that a creditor does not live up to the demands of demands, so that there are requirements that were originally established by means of mortgage loans to consumers would result in the release of a debt. The bill is limited to those that have formed on the basis of land loans to consumers and not to other species, as it is not its objective. So if the bill is legal, it goes on again with regulations of 57th. Invested sales, when demands are based on contracts for consumer mortgages. On the other hand, the law holds its value against other demands to form requirements based on the legal agreement on mortgage. In the 5th. The bill is suggested to add a paragraph to the 57th paragraph. This is explained by an arrangement for forced sales. In order to contribute to more efficient implementation of 38th par. Furthermore, the law on home loans to consumers is proposed to provide specific changes in the laws on forced sales to make more sure that the conditions of the articles are met, cr. Twenty-two-six. par. The bill. The safety of consumers in financial markets is little or no. The difference between consumers and banks is so great that the illustration of David and Goliath cannot describe the situation as it is. It is the fact that banks are being monitored and that they are acting their way, no matter what it is that they may be doing. An intimacies experienced by an error are an opportunity to seek justice from the courts. It is called an equal foundation. One worker, perhaps in the middle, but the loss or loss of his home as well as his pockets, against a huge bank - it can never be the same. This, however, is what we call the United States of Iceland as an equal. In addition, when judges of Icelandic courts seem to view consumer rights as something on top of bread, an aggressors that they have a bit of a loathing, they are not looking for good. The consumer is no match for this power. That is why I have personal and heartless experience, which, unfortunately, is not unique. It is therefore ours, the Lawgiver, to make sure that consumer rights are clearly clear that there is never any way a judge can turn them out in any way. This bill is only one factor in this process. I was counting on the support of all of you.
ParlaMint-IS_2022-03-03-46.u91	A respectable president. We're here on bill to legalize the law on consumer mortgages and forced sales. Transporter's down. paritaprevir The Australian Ásthildur Þórsdóttir and the entire group of Ganggs are all over the bill. Real estate loans and real estate transactions - it has to be said just as it is that it is incomprehensible that we should not be getting things fixed at all times since collapse. That it was not learned from the collapse of the bank, and right away the extraordinary injustice presented there is a disgrace to us, or rather, to governments who have been in power since then to extreme shame. It is also the government under which the collapse of the bank took place to shame in the way it went to the public, how thousands of possessions were taken possession of property. Their posts are terrible. Therefore, the group of people supports this bill that if people end up in the collapse of the bank crash, they can turn in the keys, as many civilized nations would permit, and thus owe the people of that property. It wasn't like that in the collapse. It used amazingly to impress those who had lost their home. People fell from their own home, perhaps paying a hundred thousand dollars. of mortgages a month and landed in a rented market, where they had to pay twice as much. Although the bank had already taken possession, it did not consider leaving the individual alone for one second but began to set standards and follow the person far beyond death and grave if necessary. That's what happened to you. A senator who sold these assets at auction as an auction selling them far below the market value of a senator named Hannah Þórsdóttir. But there were no comments on this, and as a result, the amount the bank or the person received may have been just their mortgage, there were more debts on that property, and this debt went after the person in court and bankrupted it. This was incomprehensible because, as noted, these assets were often sold under market prices that otherwise would have depended on all the debts of the individual's property. But no one was thinking of trying to see for all time that there would be an even separation so that the person would not have to be in prison for the rest of his life. But that was the fact, and the fact is that many of us who lost our possessions back then faced an incredible battle trying to save us. Many went to a credit agent who tried to save themselves that way. It had very strict rules, and then it had to deal with some incredibly evil lawyers who were just sociopaths, I would say. They didn't give a fuck whether things were legal or illegal, doing what they did. We've seen some ugly things in this context. One of the bad things we've seen in these cases is the small loans, which are a lousy part of the system, and people have been badly treated. It is the fact that the collapse of the bank is not completed and will not be finished that I count until this government is removed and the government is made up of power that really thinks about the people first and then all the rest. Not that money is taken first, and then people can just eat what they're hiding, as governments in the past few decades have done. I know there's little chance that this bill will pass through with this government, but I know the public will support it. I sincerely hope that there will not be much time for justice to be done in the General Assembly.
ParlaMint-IS_2022-03-03-46.u92	A respectable president. I'm putting in here a bill for reimbursement, No. 95/2008, in terms of permit collection companies. Transporters to my bill are Eyjólfur' son of Ármannsson, Guðmundur Inn Kristinsson, Inga Sæland, Jakob Frímann Magnússon and Tómas A. Tómasson. I'm going to start by asking two questions: Is the same thing the collect business and law firm? Do collect companies and law firms perform the same kind of work? The answer to these questions is clearly no. There is an entirely different field of activity, although it can overlap in certain cases, e.g. If law firms have to collect something for a customer, but that doesn't make them company companies. In this country, there are a lot of collect companies, and then we're not talking about the banks. Even if banks collect loans, they don't collect companies. This is essential, not the core, of their activities. In Iceland, however, there are a lot of companies who only or so only collect individuals and companies but, unfortunately, these companies do not sit at the same level. Significantly, their position at the table is determined by the manner of their ownership. Depending on whether their owner is an attorney or not, or whether the attorney chooses to go to the taxpayer's law or to take advantage of the gaps in the collections that this bill is intended to fill in. Companies involved in collecting laws need to apply for employment and to be monitored by the F.O.A. To prevent misunderstandings, some of these enterprises are owned by lawyers or in any way, but not all lawyers are as honest. Some lawyers, for their sole reasons, prefer to do so under the shelter of their legal rights and thus avoid fulfilling the government requirement to obtain permission to collect, as well as to get under the supervision of financiers. At least one of these unauthorized collection companies was heavily charged with the collection of illegal loans. It was so big that it was run as a branch office for a foreign loan company, which still served in the country under Icelandic brands and under the cover of a foreign social security number. The unauthorized collection company was hard at hand, but when they complained about the business, they were very expensive, as it turned out that the Fed had no jurisdiction over the company, for they had never applied for permission or met any conditions of the collection laws for a special company. The company was run as a law firm, although it solely collected small loans, and it was likely founded solely on the objective of collecting small loans of the Icelandic product products of this foreign company. In 2014, the World Health Organization (I.A.R.R.S.R.S.R.S.S.S.R.S.S.A. reported a complaint to the Generalist for these unauthorized collections, which I will follow. When the consumer organization began working on matters on a small loan, they tried to complain to the law firm who is the only partner responsible for this unauthorized collection company. First of all, the Neythal Society was not allowed to complain because they were not a party. This is something that both they and the household's Economic Organization have often come into play. There it is necessary to improve legislation, and I will deliver a bill on the rights of consumer organizations shortly here at the council to correct it. The following example illustrates the need for this. The organization found one of the victims of the company, but it pointed out that the complaint had to be directed to the lawyer who owned the company personally and not to his company. The legal ruling committee gave a decision that included a number of cases in a previously defined form of form, but it believed that the lawyer's behavior was critical. The owner of the unauthorized company responded by heading the person who was written for the charges. He may be entitled to defend himself, but his victims too. By not applying for the rights of the documents, the owner of this unauthorized body of retailees actually dissuades the possibility of seeking their rights by sending a complaint to the Fed that is to be handled on such matters. It was right in 2014 that the National Institutes of Economic Affairs sent a complaint to the Allied agent for this unauthorized collection company. Nevertheless, they still work today without permission and without financial supervision under cover of legal rights to their owners. The bill I'm measuring is based on the opinion given by the Alleglers' agent for the complaint of the Actors Association of the Homes on the lack of monitoring of collect activities as early as 2014. In the case of the matter, it was found that several firms engaged in such activities were under unsupervised, as it was unclear whether they were under the supervision of the Commission or Iceland's Legal Association, with the result that neither of them were actually monitored by the Rapporteur and were considered to be reformed. With law No. 55/2018, however, changes were made to collect documents that were intended to respond to the findings of the Allegorium agent in the former case, which actually went in the opposite direction. The inside law was changed so that, in addition to lawyers and law firms, lawyers, who are altogether owned by one or more lawyers or law firms, could collect without permission. You must ask yourself, " Why did the lawgiver decide to go that way? ' This change was actually contrary to the cause of the complaints involved. Instead of sharpening the permit, it was extended without reasonable support. There is still a goal to collect firms owned by lawyers who will not be under the supervision of the SEC or Iceland's Legal Association, where only lawyers are involved but no societies. At the same time, legal legislation is subject to legal restrictions. Since that change was made in 2018, it has been suggested that it was not as expected. It appears that the work of a collected company is still unsupervised or unclear, and the change has not taken away any doubt about it. This bill has been negotiated in such indications. The exchange of retailers into two collections, one and the other, those who are under the supervision of the SEC and the other, to certain persons who are not allowed to do so, such as. Officials, financial companies, lawyers, and law firms in themselves are not abnormal in view of the fact that financial companies, for example, are already under the supervision of the SEC, but Iceland's Police Association is in control of legal matters. In this way it is reasonable to assume that the special status of the lawyers according to the collection laws is due to collecting the demands of clients often involved in legal action which can be defined as a secondary job with the main activity, i.e. Law service. However, it has been noted that this is abnormal and can create uncertainty and failure in monitoring if companies who have collected that their main activities could avoid the duties of the Marketing Authorisation simply by signing their owners as lawyers. At the same time, it is a fall to disrupt the competitive position of retailers with a license that meets all the conditions that other companies in the same market can have a permit. Therefore, with the bill it is suggested that a clearer separating be made between enterprises through legal services as main activity and companies that have collected for others as primary activity and that any disproportionate analysis of the activities of the latter, regardless of ownership, will be made. In view of the indications given by the National Institutes of Economic Affairs, it is also suggested to enhance the information related to the provision of consumer rights and to require the monitoring of the business sector by other sources according to the regulations on business control and marketing. According to a survey conducted for a group of White Books on a vision of the future for financial systems, 62.9% did not know which one would be looking outside a business bank because of a conflict with the bank or a complaint. This suggests that the general awareness of such measures is low among consumers and therefore a reason to improve it. Directives on the obligation to have information on decision-making and legal matters in case there are differences between employers and consumers. ... inthePresidents of finance, consumer loan law, mortgage laws to consumers, consumers' version and treatment laws and payment laws. Therefore, in view of the EEA agreement's objectives for effective consumer protection, the addition of Article 6. A well collected collection form will be included with two new paragraphs, as follows, by permission of the president: It is also considered against a good collection practice to insist on paying a debt higher than is permitted under local laws and regulations. The internal Court shall have access to information on decision-making and corrective measures in case there are differences between the tax collectors and the creditors. In this way it will be defined as part of a good body of collections to inform consumers of decision-making and rights if there is a disagreement with the body collected. Furthermore, it will be decided that it is generally forbidden to require loans to pay more than permissible costs, such as on consumer loans, to require a requirement. The principle must be that the competitiveness of an enterprise is equal. It is obvious, however, that there is no equal or equal competition between the enterprises that meet all laws and obligations and those who do not. The main evidence to agree with this bill is that we are all supposed to be equal in law, and no one is supposed to escape legal requirements for his activities by playing chess in the covert of deception. This is also a question of consumer protection, for if a body member does not have to submit to supervision or conditions until those involved are more likely to be broken by consumer protection laws, as well as where the consumer cannot consult any complaints. So the bill suggests that an expanded legal force belonging to lawyers and law firms, which are not really law firms, but that all such companies will be removed, and all such companies will be committed on an ongoing basis, regardless of their owners. Still, lawyers and law firms can do business without special authorization, as this would be a part of their legal profession. I encourage senators to accept this bill.
ParlaMint-IS_2022-03-03-46.u93	A respectable president. Here's another bill for Fuckers. Transporter, boy. paritaprevir The Australian Ásthildur Þórsdóttir, and the whole group of Shockers are behind the bill, an essential bill that would have had to be passed long ago. It involves small loan companies, which have been incredibly carved, and the way they have horrified themselves here after the collapse and harassed poor people. It is amazing, and it tells itself that such a loan is only in need. Not only are poor people in need but I know that I took these loans to buy food and teenagers for some reason did not realize how dangerous those loans were but most of them were in terrible trouble. To our shame, the law can be passed and so devastating, as the loans are where interest is grown up to hundreds of percent or thousands. We don't have to go back very far when someone offered some of the things because of a tremendous profit, some 20-03-30%, and the person was prayed that he was doing the start of a yoking business by offering so much interest. Then everything was given free, and they were allowed to do anything. So when they were to be monitored, they seemed to be able to do everything they could and could not reach them. I hope this is one way of stopping this jungle from working hard that's going to get the worst of it. I support the bill with my mind. All that's done to bond this operation, this illegal and inhuman business of small loan companies, I support my mind. It is really incomprehensible that governments after government have kept doing so without handling it and stopping it once and for all. We are shamed that such a bill simply needs to be put forth to stop this operation and try to bond it. It is particularly shameful for those in the government, and shows exactly where their minds are; for those who are greedy for wealth to get in touch with those who should, for those who are trying to save themselves because they do not have enough initiative. It's a good bill, and hopefully it'll get through.
ParlaMint-IS_2022-03-03-46.u94	A respectable president. I hereby recommend a bill for a change in rural income law, No. 4/1994 in terms of the share of property taxes. Artists are Eyjólfur Ármannsson, Guðmundur Ingi Kristinsson, Inga Sæland, Jakob Frímann Magnússon, and Tómas A. Tómasson. The bill rests on the principle that taxes should never go up automatically but must always be discussed by the competent authorities, which, in turn, leads to a decision made by someone or someone who has political responsibility. That's not how real estate taxes are treated. Real estate tax has so far been determined as a share of real estate evaluation, but according to the law, it is always updated on a yearly basis by a treatable real estate that is expected to be available for its sale on a public market. Thus, if the market rises, property taxes will automatically rise, no matter what the cause of the rise. As real - estate prices increase, this does not automatically lead to increases in pay or the financial resources available to people or businesses. In fact, it does not really make sense that in conditions such as those of today's real estate markets, where property is overemphasis, it will automatically lead to greater pressures on companies or ordinary people who are not in any real estate concern. In recent losses, real - estate prices have increased rapidly, resulting in significant increases in taxes in figures, regardless of the percentage of taxes in individual rural areas. The increased tax burden has weighed heavily on vulnerable groups, e.g. those who have come up in debt of little or no debt, but because of old age, disability, or other circumstances, they need to rely on the minimal progress of the social security system and have limited or no chance of increasing their income. The increased tax burden has thus diminished the standard of living for these groups. It must never be forgotten that while prices of property are increasing because property in the same neighborhood was purchased by booming prices, the provision of the owner's property does not increase. This bill, therefore, is suggested to eliminate the pressures of real estate taxation on real estate evaluations and, instead, the tax will still be placed on as a certain amount on every square area of real estate fixed, objective and predictable size. Since reasonableness must also be exercised, the first decision of the sum must be made to make sure that the resulting application will not be more burdensome than otherwise would have been under the rules that have been valid so far and should be balanced in that decision. It is expected that rural society will have and can have access to all the necessary information available from the public databases to determine this amount so that it will least function as a rural society and its individual population. When necessary, it is permitted to raise the tax money, but it is suggested in the bill that such a decision be reasoned and published publicly. Furthermore, this increase is suggested to a maximum of 2.5% per year in accordance with the government's official inflation goals so that the tax does not promote further inflation. In Iceland, property taxes are estimated to be the highest in the North countries, calculated as the proportion of land production, or 2% compared to, for example. 1% in Sweden. This increase in tax burden may result in loss of employment, especially small companies and stores, where housing costs are relatively large expenses. Furthermore, it has come to the view that it is unusual for taxes to automatically increase without the rural society that actually imposes taxes on its inhabitants. Instead, the bill assumes that the amount of property tax will always be subject to the decision of the local government each year and need to be reasoned and published publicly, so that such decisions are in accordance with the best administrative laws and careful administrative practices. I believe the monarchy is that members of the United States, on the contrary, can unite that spontaneous tax increases should never be tolerated. The decision of taxes requires political responsibility, and politicians should never be able to back off and take responsibility for the taxes placed on their clients by hiding behind the market. This bill places the responsibility for real estate taxes on politicians who have volunteered to live up to that responsibility. This actually means just two things. First, to aim at the unit in terms of real estate costs, and second, that rural society may take a moderate measure of unity's decision so that it will be no more burdensome than the rules that have been valid so far. Transporters on this bill with me are AarhusmanÁrmannsson Eyjólfur, Guðmundur Inn Kristinsson, Inga Sæland, Jakob Frímann Magnússon and Tómas A. Tómasson. I expect a body of Congress to give the bill this course.
ParlaMint-IS_2022-03-03-46.u95	A respectable president. Actually, this bill doesn't give much weight to itself, but it's a big deal, because if we look at business partners, it's three. It's, first of all, a real estate tax, second of all, the expansion of rural society, i.e. As an equation fund, and third, an answer. Here it is suggested that property taxes should be developed according to their area in square metres. Furthermore, the local government is permitted to set a variable amount of tax on every square meter of real estate in a number of subsidies here five. Then I'd like to ask if it is the meaning of this bill's carriers that each member of the community settles down and decides the currency it intends to place on its population or property tax, whether it is reasonable that each member of the community is involved in this and how one rural society could be moderate in this respect. According to the current law, annual property taxes should be placed on all the property evaluated in real estate, and institutions for the stress of property taxes on all real estates should be their real estate evaluations. It is, in fact, a firm society is getting the stress stock ready. The law says that a community has a tax rate that may be up to 0.5% of the real estate assessments on apartments, up to, so each community has the power to go up to that tax, but not beyond that with special stress. They can also choose to have 0.2 at the same time, for example. Here in Reykjavík. How on earth is this supposed to be normal within the communities of the country?
ParlaMint-IS_2022-03-03-46.u96	President. Regarding whether a community has to make a decision on its own, the stress of real estate costs and each percent should be or the cost of each square cent in its own community, or whether it's made up of any decision, I don't know in itself if it should be. There must be ways to do that. What this matter is about, however, is that there have become quite a number of benefits from keeping real estates high. These are spontaneous taxes, something that goes up automatically, and it just doesn't work out that there's no rules about it and that political elected agents, they have no political responsibility for how property taxes are in their rural communities only to a small extent. They can't go higher than any particular value to real estate prices, yet real estate pays. As we have lately, real estate prices rose in a very fine way. It doesn't change people's disposition. It doesn't matter if it's acquired and improved, as financial ministers always talk about, because it lives suddenly in what the market says is more expensive. They still have the same thing between their hands to stand under the house, to buy milk and bread, and so on. They got nothing more between their hands. There's a tax that goes up automatically and nobody's responsible. It's just being suggested that he be predictable, that people can see, if they buy property which is this many square feet, what they pay for property taxes, and that they can't raise more than 2.5% a year. That is a decision, one can be asked about it, and there is some responsibility.
ParlaMint-IS_2022-03-03-46.u97	A respectable president. Thank you. A senator for the answers. Now, it's the responsibility of an elected representative to look after the financial situation of a rural society, so with this tool being proposed here, this will be very different in property, for example. Just 30 m2 houses on the Pacific and 30 m2 houses here in the East. The local community cannot change its location. Is there a local community in the West, now located in the Horn Coast, that has a total dollar in square meters, rather than a city of Reykjavík, which has more than millions of square feet? As I would like to ask about the B- force, i.e. that rural management is permitted to set a variable rate of tax per square meter in the category of rural and land-infestations, outdoors, and constructions on farms. Today, however, farms may be quite large, and this does not refer to any type of land. Let's just take the average sheepland in Skavegur, which is 4,000 acres, 40 million square feet [40 million square meters]. In such cases, what is the visualization of the price of real estate on a square meter?
ParlaMint-IS_2022-03-03-46.u98	Madam President. This bill focuses primarily on an apartment building. I'll just admit that I don't quite have what the price of being on Earth is, but I'm assuming that rural society can make those decisions on the natural basis, based on the fact that they're here on land. Regarding the situation, society has to be moderate, and there is no need to be anywhere more square in Iceland than in Reykjavík, but I don't see a barrier, so it's the same thing. But all I feel is that the government needs to take responsibility for this and find out what they're going to make, and then voters get their opinion of it when it comes to elections.
